16666	Una prelibatezza per il tuo pet!
16667	Una prelibatezza per il tuo pet molto rara!
50074	Forziere Ragno Gigante	Il forziere del temibile Gargoyle. Questo forziere contiene qualcosa di prezioso.
50075	Forziere del Contagiato	Il forziere del leggendario Tritone. Questo forziere contiene qualcosa di prezioso.
50076	Forz. Tartaruga Deserto	Il forziere della tartaruga gigante del deserto. Questo forziere contiene qualcosa di prezioso.
50077	Forziere del Nove Code	Il forziere del novecode. Questo forziere contiene qualcosa di prezioso.
50078	Forziere Tigre Gialla	Il forziere dello spirito giallo della tigre. Questo forziere contiene qualcosa di prezioso.
50079	Forziere Re delle fiamme	Il forziere del Re delle fiamme. Dal forziere esce una forza magica
50080	Forziere Drago Rosso	Il forziere del signore del male, Azrael.
50081	Forziere del Demone	Il forziere del re dei demoni. Questo forziere contiene qualcosa di prezioso.
50082	Forziere della Morte	Il forziere della morte. Questo forziere contiene qualcosa di prezioso.
50083	Buono Equitazione	Puoi cavalcare un cavallo a gratis se consegni il buono allo stalliere.
50084	Pietra Chiave	Questa pietra è avvolta da un'aura fortemente energetica. Essa agisce contro la magia dei sigilli.
50091	Sushi di Pesce Rosso	Fatto di pesce rosso | Una pietanza particolare, non è un cibo quotidiano.
50092	Sushi di Carpa	Fatto di carpa | Una pietanza particolare, non è un cibo quotidiano.
50093	Sushi di Salmone	Una rinomata specialità a base di salmone crudo e riso freddo.  Aumenta il tuo valore d'attacco di 10 punti per 30 secondi.
50094	Sushi di Pesce Gatto	È una specialità molto amata fatta con pesce gatto crudo e riso freddo. Aumenta di 10 punti il la tua difesa per 30 secondi.
50096	Palla da Calcio	Segna un goal come Baljit-Elvedin!
50100	Fuoco d´Artificio	Durante un festival brilla nel cielo un fuoco d'artificio. (Lilla)
50101	Fuoco d´Artificio	Durante un festival brilla nel cielo un fuoco d'artificio. (Giallo)
50102	Fuoco d´Artificio	Durante un festival brilla nel cielo un fuoco d'artificio. (Celeste)
50103	Fuoco d´Artificio	Durante un festival brilla nel cielo un fuoco d'artificio. (Rosso)
50104	Fuoco d´Artificio	Durante un festival brilla nel cielo un fuoco d'artificio. (Verde)
50105	Fuoco d´Artificio	Durante un festival brilla nel cielo un fuoco d'artificio. (Bianco)
50106	Fuoco Artif. Natalizio	Fuoco d'artificio natalizio | Molto più bello dei normali fuochi d'artificio.
50108	Trottola	scintillante Una trottola che fa scintille.
50118		
50119		
50120	Scrigno di ferro	Uno scrigno che contiene item per nutrire il tuo pet
50121	Scatola di ferro	Questa cassa contiene fiori utili alla creazione di pozioni e rugiade.
50122	Cassetta di ferro	La cassetta di ferro dalla Grotto dell'Esilio
50123	Gelato	Potenziamento! Questo gelato incrementa la tua velocità di movimento di 60 per 30 minuti. Attenzione: se lo si riattiva quando l'effetto è ancora in corso, si sovrascriverà la durata.
50124	Cassetta di legno marcia	Un baule pieno di saggezza. Contiene libri per Guerriero.
50125	Baule Misterioso	Un baule pieno di saggezza. Contiene libri per Ninja.
50126	Baule Misterioso	Il baule è leggerissimo... quasi come fosse vuoto...
50127	Mist. Baule smeraldo	Un baule pieno di saggezza. Contiene libri per Sura.
50128	Misterioso Baule zaffiro	Un baule pieno di saggezza. Contiene libri per Shamano.
50129	Mist. Baule ametista	Baule ametista aperto
50130	Baule dei Costumi	Un raro baule dei costumi. Può essere aperto direttamente.
50131	Misterioso Baule citrino	Un Baule citrino senza lucchetto. Può essere aperto direttamente. Il suo interno nasconde un segreto prezioso...
50132	Misterioso Baule Rubino	Un Baule Rubino chiuso che può essere aperto solo con un particolare tipo di chiave. Si dice che l'interno di questi bauli non somigli affatto allo sfavillante esterno.
50133	Mist. Baule smeraldo	Un Baule smeraldo chiuso che può essere aperto solo con un particolare tipo di chiave. Si dice che l'interno di questi bauli non somigli affatto allo sfavillante esterno.
50134	Misterioso Baule zaffiro	Un Baule zaffiro chiuso che può essere aperto solo con un particolare tipo di chiave. Si dice che l'interno di questi bauli non somigli affatto allo sfavillante esterno.
50135	Mist. Baule ametista	Un Baule ametista chiuso che può essere aperto solo con un particolare tipo di chiave. Si dice che l'interno di questi bauli non somigli affatto allo sfavillante esterno.
50136	Misterioso Baule topazio	Un Baule topazio chiuso che può essere aperto solo con un particolare tipo di chiave. Si dice che l'interno di questi bauli non somigli affatto allo sfavillante esterno.
50137	Misterioso Baule citrino	Un Baule citrino chiuso che può essere aperto solo con un particolare tipo di chiave. Si dice che l'interno di questi bauli non somigli affatto allo sfavillante esterno.
50150	Chiave Rubino	Chiave che apre i catenacci incantati della Grotta dei Miraggi.
50151	Chiave smeraldo	Contiene un quantitativo casuale di yang.
50152	Chiave zaffiro	Con questa preziosissima chiave è possibile aprire un Baule zaffiro. Cosa ci sarà dentro?
50153	Chiave ametista	Con questa preziosissima chiave è possibile aprire un Baule ametista. Cosa ci sarà dentro?
50154	Chiave topazio	Con questa preziosissima chiave è possibile aprire un Baule topazio. Cosa ci sarà dentro?
50155	Chiave citrino	Con questa preziosissima chiave è possibile aprire un Baule citrino. Cosa ci sarà dentro?
50156	Chiave diamante	Una chiave forgiata con maestria... Risplende con tutti i colori dell'arcobaleno. Con questa è possibile aprire facilmente ogni tipo di baule.
50160	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50161	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50162	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50163	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50164	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50165	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50166	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50167	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50168	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50169	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50170	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50171	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50172	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50173	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50174	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50175	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50176	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50177	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50178	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50179	Uovo pasquale	Un Uovo pasquale dipinto con colori vivaci
50180	Cesto vuoto	Un Cesto vuoto in cui potrai mettere le Uova pasquali
50181	Cesto con Uova pasquali	Un Cesto pieno di Uova pasquali.
50182	Forziere benedetto	Un forziere benedetto dal contenuto ignoto.
50183	Dolci	Questi dolci hanno un effetto molto particolare: velocità di movimento + 10%, danno +5%, esperienza +10%. Dura 30 minuti.
50184		
50185		
50186	Forziere di Azrael	Questo forziere è sigillato da delle forze demoniache. Deve contenere dei tesori preziosi...
50187	Baule Apprendista I	Vieni premiato per la tua fedelta'.
50188	Baule Apprendista II	Vieni premiato per la tua fedelta'.
50189	Baule Apprendista III	Vieni premiato per la tua fedelta'.
50190	Baule Esperto I	Vieni premiato per la tua fedelta'.
50191	Baule Esperto II	Vieni premiato per la tua fedelta'.
50192	Baule Esperto III	Vieni premiato per la tua straordinaria fedelta'.
50193	Baule Maestro I	Potrai aprire questo baule non appena avrai raggiunto il livello 60.
50194	Baule Maestro II	Potrai aprire questo baule non appena avrai raggiunto il livello 70.
50195	Baule Maestro III	Potrai aprire questo baule non appena avrai raggiunto il livello 80.
50196	Baule Gran Maestro	Potrai aprire questo baule non appena avrai raggiunto il livello 90.
50197		
50198		
50199		
50200	Fagotto	Ti permette di aprire un negozio privato.
50212	Baule Apprendista I	Il tuo regalo di benvenuto contiene un equipaggiamento di base che ti consentirà di iniziare al meglio la tua avventura.
50213	Baule Apprendista I	Il tuo regalo di benvenuto contiene un equipaggiamento di base che ti consentirà di iniziare al meglio la tua avventura.
50215	Forziere di Halloween	Contiene oggetti elementali.
50216	Vin Brulé	Una bevanda calda a base di vino e spezie che ti dona il 10% in più di velocità, il 5% in più di danno e il 10% in più di esperienza per una durata di 30 minuti.
50249	Baule del Trionfo	Questo baule contiene una lettera da collezione che permette di riscattare dei premi.
50252	Cor draconis	Il cuore di drago di cristallo racchiude al suo interno l'anima, la Pietra del drago.
50253		
50254	Scrigno dell'oscurità	Il pesante Scrigno dell'oscurità nasconde i beni della Nazione Oscura, che si credevano perduti.
50255	Cor draconis (grezzo)	Il cuore di drago di cristallo racchiude al suo interno l'anima, la Pietra del Drago.
50256	Cor draconis (tagliato)	Il cuore di drago di cristallo racchiude al suo interno l'anima, la Pietra del Drago.
50257	Cor draconis (raro)	Il cuore di drago di cristallo racchiude al suo interno l'anima, la Pietra del Drago.
50258	Cor draconis (antico)	Il cuore di drago di cristallo racchiude al suo interno l'anima, la Pietra del Drago.
50259	Cor draconis (leggend.)	Il cuore di drago di cristallo racchiude al suo interno l'anima, la Pietra del Drago.
50260	Cor draconis (grezzo)	Il cuore di drago di cristallo racchiude al suo interno l'anima, la Pietra del Drago.
50263	Pergamena del legame	Questo contratto lega un oggetto a tua scelta all'anima del personaggio. Mentre il contratto è in vigore, l'oggetto non può essere commerciato, lasciato cadere o incantato.
50264	Pergamena slegante	Slega l'oggetto dall'anima del tuo personaggio.
50265	Pallone d'oro	La palla è rotonda e dorata.
50266	Baule di Jotun Thrym	Il forziere di Jotun Thrym. Questo forziere contiene qualcosa di prezioso.
50267	Baule Okey oro	Per ottenere questo premio, raggiungi 400 o più punti in un turno di Okey.
50268	Baule Okey argento	Per ottenere questo premio, raggiungi dai 250 ai 399 punti in un turno di Okey.
50269	Baule Okey bronzo	Per ottenere questo premio, raggiungi 249 punti o meno in un turno di Okey.
50270	Baule della Regina Meley	Questo baule è stato recuperato nel Rifugio di Meley la Regina dei draghi. Esso racchiude un tesoro estremamente prezioso. Questo item è commerciabile.
50271	Baule Guard. d. draghi	Questo baule contiene dei tesori rari, creduti scomparsi da secoli, degli innumerevoli Guardiani dei draghi. Questo item è commerciabile.
50272	B. cacciatore boss oro	Sferra almeno 2.000 colpi durante la caccia al mostro per ottenere questo premio.
50273	B. cacciatore boss arg.	Sferra da 1.000 a 1.999 colpi durante la caccia al mostro per ottenere questo premio.
50274	B. cacciatore boss bron.	Sferra da 500 a 999 colpi durante la caccia al mostro per ottenere questo premio.
50275	Baule Okey oro	Per ottenere questo premio, raggiungi 400 o più punti in un turno di Okey.
50276	Baule Okey argento	Per ottenere questo premio, raggiungi dai 250 ai 399 punti in un turno di Okey.
50277	Baule Okey bronzo	Per ottenere questo premio, raggiungi 249 punti o meno in un turno di Okey.
50278	Cono gelato	Questo Cono gelato ha un effetto molto particolare: velocità di movimento +10%, danno +5%, esperienza +10%. Dura 30 minuti. Consuma o scambia quotidianamente 3 Coni gelato con una Coppa di cristallo.
50279	Palline di gelato	Raccogli delle Palline di gelato per Summer. Le servono 10 Palline di gelato per un Cono gelato.
50280	Coppa di cristallo	Questa Coppa di cristallo esclusiva permette di servire il gelato nel modo più creativo. Vai da Summer in città e scambia tre Coppe di cristallo per una Torta gelato.
50281	Torta gelato	Vai da Summer per prenderti una Borsa termica per la tua Torta gelato.
50282	Congelatore	Questa Borsa termica spacca! Aprila ed estrai uno degli oggetti tanto ambiti.
50283	Carta mostro	Quando usi questo oggetto, viene aggiunto alla tua collezione.
50284	Carta mostro (commerc.)	Quando usi questo oggetto, viene aggiunto alla tua collezione.
50296	Forziere di contrattacco	Contiene 250 spore.
50297	Forziere di contrattacco	Contiene 250 incanta.
50090	Forziere di contrattacco	Contiene 250 scaglie.
50115	Forziere di contrattacco	Contiene 250 pietre sconosciute.
50298	Cassetto di contrattacco	Questo cassetto contiene 5 Contrattacchi Baule libri.
50299	Cassetto del boost	Questo cassetto contiene 5 Boost Baule libri.
50300	Libro delle Abilità	Aumenta il livello delle abilità maestre.
50301	Arte della Guerra Sun-zi	Uno dei tre libri di strategia della guerra. | Aumenta la forza di comando. | Il libro sparisce dopo la lettura.
50302	Arte della Guerra Wu-zi	Uno dei tre libri di strategia della guerra. | Aumenta la forza di comando. | Il libro sparisce dopo la lettura.
50303	WeiLiao Zi	Uno dei tre libri di strategia della guerra. | Aumenta la forza di comando. | Il libro sparisce dopo la lettura.
50304	Capacità di Fare Combo	Questo libro di strategie tattiche viene usato per allenare i Combo. Il libro sparisce dopo la lettura.
50305	Libro del Maestro Combo	Questo libro di strategie tattiche viene usato per allenare i Combo esperti. Il libro sparisce dopo la lettura.
50306	L'Alta Arte del Combo	Questo libro di strategie tattiche per maestri viene usato per allenare i Combo. Il libro sparisce dopo la lettura.
50307	Libro Missione(Facile)	Dentro ci trovi la missione facile
50308	Libro Missione(Normale)	Dentro ci trovi la missione media
50309	Libro Missione-Difficile	Dentro ci trovi la missione difficile
50310	Libro Missione(Esperti)	Dentro ci trovi la missione per esperti
50311	Lingue Shinsoo	Questo libro rilegato in preziosa carta di seta, ti permette di comprendere la lingua Shinsoo non appena avrai raggiunto il grado Maestro.
50312	Lingue Chunjo	Questo libro rilegato in preziosa carta di seta, ti permette di comprendere la lingua Chunjo non appena avrai raggiunto il grado Maestro.
50313	Lingue Jinno	Questo libro rilegato in preziosa carta di seta, ti permette di comprendere la lingua Jinno non appena avrai raggiunto il grado Maestro.
50314	Libro Trasformazione	Studiando il libro con successo aumenterai l'abilità Trasformazione. Il libro sparisce dopo la lettura.
50315	Libro Trasform. Avan.	Lo studio di questo libro aumenta la capacità di trasformazione. Il libro sparisce al termine della lettura.
50316	Libro Maestro Trasform.	Studiando il libro con successo aumenterai l'abilità trasformazione. Il libro sparisce dopo la lettura.
50323	Contratt. Baule libri	Questo forziere contiene un libro delle abilità a caso per apprendere delle abilità contrattacco.
50324	Boost Baule libri	Questo forziere contiene un libro delle abilità a caso per apprendere delle abilità boost.
50330	Libro missione (Prin. 1)	Contiene una missione estremamente difficile (1): se riuscirai a completarla, otterrai una ricompensa.
50331	Libro missione (Prin. 2)	Contiene una missione estremamente difficile (2): se riuscirai a completarla, otterrai una ricompensa.
50332	Libro missione (Prin. 3)	Contiene una missione estremamente difficile (3): se riuscirai a completarla, otterrai una ricompensa.
50401	Libro Taglio a Tre Vie	La lettura di questo libro consente di apprendere l’abilità Taglio a tre vie. Il libro sparisce dopo la lettura.
50402	Libro Vortice Spada	La lettura di questo libro consente di apprendere l'abilità Vortice spada.  Il libro sparisce dopo la lettura.
50403	Libro Estasi Combattim.	La lettura di questo libro consente di apprendere l'abilità Estasi combattimento. Il libro sparisce dopo la lettura.
50404	Libro Aura della Spada	La lettura di questo libro consente di apprendere l'abilità Aura della spada.  Il libro sparisce dopo la lettura.
50405	Liro del Sibilo	La lettura di questo libro consente di apprendere l'abilità Sibilo.  Il libro sparisce dopo la lettura.
50406	Libro Volontà di vivere	La lettura di questo libro consente di apprendere l'abilità Volontà di vivere. Il libro sparisce dopo la lettura.
50416	Libro Colpo Perforante	La lettura di questo libro consente di apprendere l'abilità Colpo perforante. Il libro sparisce dopo la lettura.
50417	Libro Colpire Duramente	La lettura di questo libro consente di apprendere l'abilità Colpire duramente. Il libro sparisce dopo la lettura.
50418	Libro del Pestare	La lettura di questo libro consente di apprendere l'abilità Pestare.  Il libro sparisce dopo la lettura.
50419	Libro del Corpo Forte	La lettura di questo libro consente di apprendere l'abilità Corpo forte.  Il libro sparisce dopo la lettura.
50420	Libro del Colpo di Spada	La lettura di questo libro consente di apprendere l'abilità Colpo di spada. Il libro sparisce dopo la lettura.
50421	Libro Orb della spada	La lettura di questo libro consente di apprendere l'abilità Orb della spada. Il libro sparisce dopo la lettura.
50431	Libro del Tranello	La lettura di questo libro consente di apprendere l'abilità Tranello. Il libro sparisce dopo la lettura.
50432	Libro dell'Attacco lampo	La lettura di questo libro consente di apprendere l'abilità Attacco lampo. Il libro sparisce dopo la lettura.
50433	Libro Vortice Pugnale	La lettura di questo libro consente di apprendere l'abilità Vortice pugnale. Il libro sparisce dopo la lettura.
50434	Libro del Camuffamento	La lettura di questo libro consente di apprendere l'abilità Camuffamento. Il libro sparisce dopo la lettura.
50435	Libro Nuvole Velenose	La lettura di questo libro consente di apprendere l'abilità Nuvole velenose. Il libro sparisce dopo la lettura.
50436	Libro Veleno insidioso	La lettura di questo libro consente di apprendere l'abilità Veleno insidioso. Il libro sparisce dopo la lettura.
50446	Libro dei Tiri Ripetuti	La lettura di questo libro consente di apprendere l'abilità Tiri ripetuti. Il libro sparisce dopo la lettura.
50447	Libro Pioggia di Frecce	La lettura di questo libro consente di apprendere l'abilità Pioggia di frecce. Il libro sparisce dopo la lettura.
50448	Libro Freccia di Fuoco	La lettura di questo libro consente di apprendere l'abilità Frecce di fuoco. Il libro sparisce dopo la lettura.
50449	Libro Passo di Piuma	La lettura di questo libro consente di apprendere l'abilità Passo di piuma. Il libro sparisce dopo la lettura.
50450	Libro Freccia Avvelenata	La lettura di questo libro consente di apprendere l'abilità Freccia avvelenata. Il libro sparisce dopo la lettura.
50451	Libro Colpo sfavillante	La lettura di questo libro consente di apprendere l'abilità Colpo sfavillante. Il libro sparisce dopo la lettura.
50461	Libro Schiocco di Dita	La lettura di questo libro consente di apprendere l'abilità Schiocco di dita. Il libro sparisce dopo la lettura.
50462	Libro Vortice del Drago	La lettura di questo libro consente di apprendere l'abilità Vortice del drago. Il libro sparisce dopo la lettura.
50463	Libro Lama Incantata	La lettura di questo libro consente di apprendere l'abilità Lama incantata. Il libro sparisce dopo la lettura.
50464	Libro del Terrore	La lettura di questo libro consente di apprendere l'abilità Terrore. Il libro sparisce dopo la lettura.
50465	Libro Armatura Incantata	La lettura di questo libro consente di apprendere l'abilità Armatura incantata. Il libro sparisce dopo la lettura.
50466	Libro Annullamento Magia	La lettura di questo libro consente di apprendere l'abilità Annullamento magia. Il libro sparisce dopo la lettura.
50476	Libro Colpo Oscuro	La lettura di questo libro consente di apprendere l'abilità Colpo oscuro. Il libro sparisce dopo la lettura.
50477	Libro Colpo Infiammato	La lettura di questo libro consente di apprendere l'abilità Colpo infiammato. Il libro sparisce dopo la lettura.
50478	Libro Spirito Fiamma	La lettura di questo libro consente di apprendere l'abilità Spirito fiamma. Il libro sparisce dopo la lettura.
50479	Libro Protezione Oscura	La lettura di questo libro consente di apprendere l'abilità Protezione oscura. Il libro sparisce dopo la lettura.
50480	Libro Colpo Spirituale	La lettura di questo libro consente di apprendere l'abilità Colpo spirituale. Il libro sparisce dopo la lettura.
50481	Libro Pietra Oscura	La lettura di questo libro consente di apprendere l'abilità Pietra oscura. Il libro sparisce dopo la lettura.
50491	Libro Talismano Volante	La lettura di questo libro consente di apprendere l'abilità Talismano volante. Il libro sparisce dopo la lettura.
50492	Libro Tiro del Drago	La lettura di questo libro consente di apprendere l'abilità Tiro del drago. Il libro sparisce dopo la lettura.
50493	Libro Ruggito del Drago	La lettura di questo libro consente di apprendere l'abilità Ruggito del drago. Il libro sparisce dopo la lettura.
50494	Libro della Benedizione	La lettura di questo libro consente di apprendere l'abilità Benedizione. Il libro sparisce dopo la lettura.
50495	Libro della Riflessione	La lettura di questo libro consente di apprendere l'abilità Riflessione. Il libro sparisce dopo la lettura.
50496	Libro Aiuto del drago	La lettura di questo libro consente di apprendere l'abilità Aiuto del drago. Il libro sparisce dopo la lettura.
50506	Libro Lancio di Fulmini	La lettura di questo libro consente di apprendere l'abilità Lancio di fulmini. Il libro sparisce dopo la lettura.
50507	Libro dei Fulmini	La lettura di questo libro consente di apprendere l'abilità Fulmini. Il libro sparisce dopo la lettura.
50508	Libro Artigli di Fulmine	La lettura di questo libro consente di apprendere l'abilità Artigli di fulmine. Il libro sparisce dopo la lettura.
50509	Libro della Guarigione	La lettura di questo libro consente di apprendere l'abilità Guarigione. Il libro sparisce dopo la lettura.
50510	Libro della Velocità	La lettura di questo libro consente di apprendere l'abilità Velocità. Il libro sparisce dopo la lettura.
50511	Libro dell'Attacco	La lettura di questo libro consente di apprendere l'abilità Attacco. Il libro sparisce dopo la lettura.
50512	Pietra Arcobaleno	La pietra che apre l'occhio spirituale e rivela tutte le abilità.
50513	Pietra delle Anime	La leggendaria pietra che è usata per allenare il proprio io, dopo che l'occhio spirituale è stato aperto.
50514	Boost Manuale	Questo manuale ti permette di apprendere una delle nove abilità boost. Sarà selezionata l'abilità adatta a te.
50515	Contrattacco Manuale	Questo manuale ti permette di apprendere una delle nove abilità contrattacco. Scegli con giudizio!
50516	Contratt. Vortice spada	Questo libro ti insegna l'abilità con la quale è possibile ridurre il danno inflitto tramite Vortice di spada.
50517	Contrattacco Tranello	Questo libro ti insegna l'abilità con la quale è possibile ridurre il danno inflitto tramite Tranello.
50518	Contratt. Schiocco dita	Questo libro ti insegna l'abilità con la quale è possibile ridurre il danno inflitto tramite Schiocco di dita.
50519	Contratt. Tiro drago	Questo libro ti insegna l'abilità con la quale è possibile ridurre il danno inflitto tramite Tiro del drago.
50520	Contratt. Penetrazione	Questo libro ti insegna l'abilità con la quale è possibile ridurre il danno inflitto tramite Penetrazione.
50521	Contratt. Freccia fuoco	Questo libro ti insegna l'abilità con la quale è possibile ridurre il danno inflitto tramite Freccia di fuoco.
50522	Contratt. Colpo oscuro	Questo libro ti insegna l'abilità con la quale è possibile ridurre il danno inflitto tramite Colpo oscuro.
50523	Contratt. Evoc. lampi	Questo libro ti insegna l'abilità con la quale è possibile ridurre il danno inflitto tramite Evocare i lampi
50524	Contratt. Respiro lupo	Questo libro ti insegna l'abilità con la quale è possibile ridurre il danno inflitto tramite Respiro del lupo.
50525	Pietra delle anime+	Questa pietra leggendaria permette di incrementare le abilità da G1 a P.
50530	Libro Dilania	La lettura di questo libro consente di apprendere l'abilità Dilania. Il libro sparisce dopo la lettura.
50531	Libro Respiro del lupo	La lettura di questo libro consente di apprendere l'abilità Respiro del lupo. Il libro sparisce dopo la lettura.
50532	Libro Salto del lupo	La lettura di questo libro consente di apprendere l'abilità Salto del lupo. Il libro sparisce dopo la lettura.
50533	Libro Artiglio di lupo	La lettura di questo libro consente di apprendere l'abilità Artiglio di lupo. Il libro sparisce dopo la lettura.
50534	Libro Anima lupo purp.	La lettura di questo libro consente di apprendere l'abilità Anima del lupo purpureo. Il libro sparisce dopo la lettura.
50535	Libro Anima lupo indaco	La lettura di questo libro consente di apprendere l'abilità Anima del lupo indaco. Il libro sparisce dopo la lettura.
50560	Boost Vortice di spada	Questo libro ti permette di apprendere l'abilità per il potenziamento di Vortice di spada.
50561	Boost Tranello	Questo libro ti permette di apprendere l'abilità per il potenziamento di Tranello.
50562	Boost Schiocco di dita	Questo libro ti permette di apprendere l'abilità per il potenziamento di Schiocco di dita.
50563	Boost Tiro del drago	Questo libro ti permette di apprendere l'abilità per il potenziamento di Tiro del drago.
50564	Boost Penetrazione	Questo libro ti permette di apprendere l'abilità per il potenziamento di Penetrazione.
50565	Boost Freccia di fuoco	Questo libro ti permette di apprendere l'abilità per il potenziamento di Freccia di fuoco.
50566	Boost Colpo oscuro	Questo libro ti permette di apprendere l'abilità per il potenziamento di Colpo oscuro.
50567	Boost Evocare i lampi	Questo libro ti permette di apprendere l'abilità per il potenziamento di Evocare i lampi.
50568	Boost Respiro del lupo	Questo libro ti permette di apprendere l'abilità per il potenziamento di Respiro del lupo.
50600	Libro Arte Mineraria	Usalo per alzare il livello della scienza mineraria.| Il libro sparisce dopo la lettura.
50601	Pietra Diamante	Attraverso l'uso del forno per i diamanti della Gilda, può essere trasformato in diamante.
50602	Pietra Ambra	Attraverso l'uso del forno per l'ambra della Gilda, può essere trasformato in ambra.
50603	Tronco Fossile	Attraverso l'uso del forno per il legno fossile della Gilda, può essere trasformato in legno fossile.
50604	Minerale di Rame	Attraverso l'uso del forno per il rame della Gilda, può essere trasformato in rame.
50605	Minerale d'Argento	Attraverso l'uso del forno per l'argento della Gilda, può essere trasformato in argento.
50606	Minerale d'Oro	Attraverso l'uso del forno per l'oro della Gilda, può essere trasformato in oro.
50607	Minerale di Giada	Attraverso l'uso del forno per la giada della Gilda, può essere trasformato in giada.
50608	Minerale di Ebano	Attraverso l'uso del forno per l'ebano della Gilda, può essere trasformato in ebano.
50609	Pezzo di Perla	Attraverso l'uso del forno per le perle della Gilda, può essere trasformato in perla.
50610	Minerale di Platino	Attraverso l'uso del forno per il platino della Gilda, può essere trasformato in platino.
50611	Minerale di Cristallo	Attraverso l'uso del forno per i cristalli della Gilda, può essere trasformato in cristallo.
50612	Minerale di Quarzo	Attraverso l'uso del forno per l'ametista della Gilda, può essere trasformato in ametista.
50613	Miner. Lacrima di Cielo	Attraverso l'uso del forno le lacrime di cielo della Gilda, può essere trasformato in lacrima di cielo.
50614	Minerale Cristallo Anime	Utilizzando il Forno della Gilda puoi creare un Cristallo delle Anime a partire da questo minerale.
50615	Minerale di Rubino	Utilizzando il Forno della Gilda puoi creare un Rubino a partire da questo minerale.
50616	Minerale di Granato	Utilizzando il Forno della Gilda puoi creare un Granato a partire da questo minerale.
50617	Minerale di Smeraldo	Utilizzando il Forno della Gilda puoi creare uno Smeraldo a partire da questo minerale.
50618	Minerale di Zaffiro	Utilizzando il Forno della Gilda puoi creare uno Zaffiro a partire da questo minerale.
50619	Minerale di tormalina	Utilizzando il Forno della gilda puoi creare una Tormalina a partire da questo minerale.
50621	Diamante	La pietra preziosa più dura, che può essere inserita in una montatura in accessori.
50622	Ambra	La tua bella ambra. | Può essere inserito come accessorio.
50623	Legno Fossile	Un legno pregiato. | Può essere inserito come accessorio di legno.
50624	Rame	Un metallo pregiato facilmente plasmabile usato per fare del bronzo o monete. Può essere usato anche per la produzione di bronzo.
50625	Argento	Metallo luccicante usato per la creazione di gioielli. | Può essere inserito come accessorio d'argento.
50626	Oro	Metallo dorato usato per la creazione dei gioielli. | Può essere inserito come accessorio d'oro.
50627	Giada	Un minerale pregiato. | Può essere inserito come accessorio di giada.
50628	Ebano	Il legno più forte e più leggero in assoluto. | Può essere inserito come accessorio di ebano.
50629	Perla	Usato per la creazione di gioielli. | Può essere inserito come accessorio di perle.
50630	Platino	Oro che sembra argento ma più duro che può essere inserito come accessorio.
50631	Cristallo	Chiamato anche quarzo cristallino. Può essere inserito come accessorio di cristallo.
50632	Ametista	Quarzo viola. | Può essere inserito come accessorio di ametista.
50633	Lacrima di Cielo	Pioggia cristallizzata dal cielo. | Può essere inserito come accessorio di lacrima di cielo.
50634	Cristallo anime	Un cristallo limpido come l'anima. Può essere usato per la realizzazione di gioielli.
50635	Rubino	Una pietra preziosa rossa con un taglio unico. Può essere trasformata in un gioiello prezioso.
50636	Granato	Una pietra preziosa arancione con un taglio unico. Può essere trasformata in un gioiello prezioso.
50637	Smeraldo	Una pietra preziosa verde con un taglio unico. Può essere trasformata in un gioiello prezioso.
50638	Zaffiro	Una pietra preziosa blu con un taglio unico. Può essere trasformata in un gioiello prezioso.
50639	Tormalina	Questa fantastica pietra preziosa risplende con tutti i colori dell'arcobaleno. Può essere usata per la realizzazione di gioielli.
50701	Fiori di Pesco	Un  tempo con i fiori di pesco si creava un unguento per la pelle	Ricerca
50702	Campanula	Questo fiore è molto conosciuto per le sue proprietà curative contro tosse e raffreddore.	Ricerca
50703	Fiori di Caco	Una leggenda narra che se una donna porta al collo questo fiore avrà un figlio maschio.	Ricerca
50704	Radice di Gango	La radice di Gango aiuta il sistema immunitario e rinforza la resistenza del corpo.	Ricerca
50705	Lillà	Questa pianta aumenta la concentrazione e la memoria.	Ricerca
50706	Fungo Tue	Questo fungo è usato raramente come medicina ed aiuta contro l'insonnia.	Ricerca
50707	Rosa alpina	Questa pianta rinforza il sistema nervoso.	Ricerca
50708	Albero di More	Le more danno forza e risvegliano.	Ricerca
